season,location,matchday_nr,home_team_id,home_team_name,home_team,away_team_id,away_team_name,away_team,goals_home,goals_away,draw,win_home,win_away,goals_total
2012,Augsburg,31,95,FC Augsburg,Augsburg,16,VfB Stuttgart,Stuttgart,3,0,0,1,0,3
2012,Düsseldorf,31,185,Fortuna Düsseldorf,Düsseldorf,7,Borussia Dortmund,BVB,1,2,0,0,1,3
2012,Mainz,31,81,1. FSV Mainz 05,Mainz,91,Eintracht Frankfurt,Frankfurt,0,0,1,0,0,0
2012,Gelsenkirchen,31,9,FC Schalke 04,Schalke,100,Hamburger SV,HSV,4,1,0,1,0,5
2012,Gladbach,32,87,Borussia Mönchengladbach,Gladbach,9,FC Schalke 04,Schalke,0,1,0,0,1,1
2012,Nürnberg,32,79,1. FC Nürnberg,Nürnberg,6,Bayer Leverkusen,Leverkusen,0,2,0,0,1,2
2012,Bremen,32,134,Werder Bremen,Bremen,175,TSG 1899 Hoffenheim,Hoffenheim,2,2,1,0,0,4
2012,Hannover,32,55,Hannover 96,Hannover,81,1. FSV Mainz 05,Mainz,2,2,1,0,0,4
2012,Stuttgart,32,16,VfB Stuttgart,Stuttgart,115,SpVgg Greuther Fürth,Fürth,0,2,0,0,1,2
2012,Frankfurt,32,91,Eintracht Frankfurt,Frankfurt,185,Fortuna Düsseldorf,Düsseldorf,3,1,0,1,0,4
2012,Dortmund,32,7,Borussia Dortmund,BVB,40,FC Bayern München,Bayern,1,1,1,0,0,2
2012,Freiburg,32,112,SC Freiburg,Freiburg,95,FC Augsburg,Augsburg,2,0,0,1,0,2
2012,Hamburg,32,100,Hamburger SV,HSV,131,VfL Wolfsburg,Wolfsburg,1,1,1,0,0,2
2012,Mainz,33,81,1. FSV Mainz 05,Mainz,87,Borussia Mönchengladbach,Gladbach,2,4,0,0,1,6
2012,Gelsenkirchen,33,9,FC Schalke 04,Schalke,16,VfB Stuttgart,Stuttgart,1,2,0,0,1,3
2012,Leverkusen,33,6,Bayer Leverkusen,Leverkusen,55,Hannover 96,Hannover,3,1,0,1,0,4
2012,Düsseldorf,33,185,Fortuna Düsseldorf,Düsseldorf,79,1. FC Nürnberg,Nürnberg,1,2,0,0,1,3
2012,Fürth,33,115,SpVgg Greuther Fürth,Fürth,112,SC Freiburg,Freiburg,1,2,0,0,1,3
2012,München,33,40,FC Bayern München,Bayern,95,FC Augsburg,Augsburg,3,0,0,1,0,3
2012,Sinsheim,33,175,TSG 1899 Hoffenheim,Hoffenheim,100,Hamburger SV,HSV,1,4,0,0,1,5
2012,Wolfsburg,33,131,VfL Wolfsburg,Wolfsburg,7,Borussia Dortmund,BVB,3,3,1,0,0,6
2012,Bremen,33,134,Werder Bremen,Bremen,91,Eintracht Frankfurt,Frankfurt,1,1,1,0,0,2
2012,Gladbach,34,87,Borussia Mönchengladbach,Gladbach,40,FC Bayern München,Bayern,3,4,0,0,1,7
2012,Hannover,34,55,Hannover 96,Hannover,185,Fortuna Düsseldorf,Düsseldorf,3,0,0,1,0,3
2012,Freiburg,34,112,SC Freiburg,Freiburg,9,FC Schalke 04,Schalke,1,2,0,0,1,3
2012,Hamburg,34,100,Hamburger SV,HSV,6,Bayer Leverkusen,Leverkusen,0,1,0,0,1,1
2012,Frankfurt,34,91,Eintracht Frankfurt,Frankfurt,131,VfL Wolfsburg,Wolfsburg,2,2,1,0,0,4
2012,Nürnberg,34,79,1. FC Nürnberg,Nürnberg,134,Werder Bremen,Bremen,3,2,0,1,0,5
2012,Dortmund,34,7,Borussia Dortmund,BVB,175,TSG 1899 Hoffenheim,Hoffenheim,1,2,0,0,1,3
2012,Stuttgart,34,16,VfB Stuttgart,Stuttgart,81,1. FSV Mainz 05,Mainz,2,2,1,0,0,4
2012,Augsburg,34,95,FC Augsburg,Augsburg,115,SpVgg Greuther Fürth,Fürth,3,1,0,1,0,4
2013,München,1,40,FC Bayern München,Bayern,87,Borussia Mönchengladbach,Gladbach,3,1,0,1,0,4
2013,Leverkusen,1,6,Bayer Leverkusen,Leverkusen,112,SC Freiburg,Freiburg,3,1,0,1,0,4
2013,Hannover,1,55,Hannover 96,Hannover,131,VfL Wolfsburg,Wolfsburg,2,0,0,1,0,2
2013,Sinsheim,1,123,TSG 1899 Hoffenheim,Hoffenheim,79,1. FC Nürnberg,Nürnberg,2,2,1,0,0,4
2013,Augsburg,1,95,FC Augsburg,Augsburg,7,Borussia Dortmund,BVB,0,4,0,0,1,4
